symbol,pathway,pathway_does,role,drugged_neighbours,source_url,note
EGFR,EGFR / ERBB receptor signalling,Ligand binding dimerises the receptor and switches on RAS-MAPK and PI3K-AKT; both branches drive proliferation and survival.,Receptor tyrosine kinase at the cell surface — the ligand-binding member of the HER family.,ERBB2; KRAS; PIK3CA; BRAF; MAP2K1; MTOR,https://www.uniprot.org/uniprotkb/P00533/entry,Role and pathway from the UniProt Function section. The neighbours are targets on the same cascade that already carry approved drugs.
ERBB2,EGFR / ERBB receptor signalling,The same cascade EGFR runs — RAS-MAPK and PI3K-AKT — entered through a receptor pair rather than a ligand.,"Receptor tyrosine kinase with no ligand of its own; it works as the preferred dimerisation partner of the other HER receptors, which is why amplification alone drives signalling.",EGFR; KRAS; PIK3CA; MTOR,https://www.uniprot.org/uniprotkb/P04626/entry,Role and pathway from the UniProt Function section. The neighbours are targets on the same cascade that already carry approved drugs.
KRAS,RAS-MAPK signalling,A GTPase switch downstream of receptor tyrosine kinases; in the GTP-bound state it turns on RAF-MEK-ERK.,"Small GTPase, lipid-anchored on the cytoplasmic face of the membrane — which is why antibodies and ADCs cannot reach it.",EGFR; ERBB2; BRAF; MAP2K1; PTPN11; SOS1,https://www.uniprot.org/uniprotkb/P01116/entry,Role and pathway from the UniProt Function section. Neighbours are nodes of the same cascade with drugs in the clinic or on the market.
PDCD1,T-cell co-inhibitory checkpoint signalling,"Engagement by PD-L1 recruits the phosphatase SHP-2 to the T-cell receptor complex and damps signalling, limiting the response.",Cell-surface inhibitory receptor induced on activated T cells.,CD274; CTLA4; LAG3; TIGIT,https://www.uniprot.org/uniprotkb/Q15116/entry,Role and pathway from the UniProt Function section. Neighbours are other checkpoint receptors and ligands with approved or late-stage drugs.
CD19,B-cell receptor co-receptor signalling,Lowers the threshold at which the B-cell receptor fires by amplifying PI3K signalling.,B-cell surface co-receptor — expressed from the pro-B stage through to most B-cell malignancies.,MS4A1; CD22; TNFRSF17; BTK,https://www.uniprot.org/uniprotkb/P15391/entry,Role from the UniProt Function section. Neighbours are the other B-cell surface antigens and BCR-pathway nodes that carry approved drugs.
TNFRSF17,BAFF / APRIL receptor signalling in plasma cells,"BAFF and APRIL binding drives plasma-cell survival through NF-kB, which is the dependency myeloma inherits.",TNF-family receptor, restricted to plasma cells and plasmablasts.,TNFSF13B; TNFRSF13B; TNFRSF13C; CD19,https://www.uniprot.org/uniprotkb/Q02223/entry,Role and pathway from the UniProt Function section. Neighbours are the other receptors and the shared ligand of the same axis.
TNFRSF13C,BAFF receptor signalling into non-canonical NF-kB,"BAFF binding stabilises NIK, which processes p100 to p52 — the arm of NF-kB that keeps mature B cells alive.",TNF-family receptor on mature B cells; the arm of the axis that is B-cell selective rather than plasma-cell selective.,TNFSF13B; MAP3K14; TNFRSF17; TNFRSF13B,https://www.uniprot.org/uniprotkb/Q96RJ3/entry,Role and pathway from the UniProt Function section. Neighbours are the ligand it binds and the kinase it signals through.
TNFSF13B,BAFF / APRIL signalling,"The ligand side of the same axis: one cytokine, three receptors, and blocking it hits all three at once.",Secreted TNF-family cytokine; also exists as a membrane form.,TNFRSF13C; TNFRSF17; TNFRSF13B,https://www.uniprot.org/uniprotkb/Q9Y275/entry,Role and pathway from the UniProt Function section. Neighbours are its three receptors — the reason a ligand programme and a receptor programme are different products.
TNFSF15,TL1A - DR3 signalling in mucosal immunity,"Binding DR3 on T cells amplifies whatever response is already running, which is why the target is pursued in IBD rather than in infection.",Secreted TNF-family cytokine.,TNFRSF25; TNF; IL23A,https://www.uniprot.org/uniprotkb/O95150/entry,Role and pathway from the UniProt Function section. Neighbours are its receptor and the cytokines targeted in the same disease.
IL23A,IL-23 / Th17 signalling,"Drives and maintains Th17 cells through JAK-STAT; the p40 subunit it pairs with is shared with IL-12, which is what separates a p19 antibody from a p40 one.",Cytokine subunit — the p19 chain of IL-23; it is only active paired with p40.,IL12B; IL17A; IL23R; TYK2,https://www.uniprot.org/uniprotkb/Q9NPF7/entry,Role and pathway from the UniProt Function section. Neighbours are the shared subunit, the receptor, the downstream kinase and the effector cytokine — all with approved drugs.
MAP3K14,Non-canonical NF-kB,"Held at a low level by a degradation complex and stabilised when a receptor signals; it then processes p100 to p52.",Kinase — the committed step of the non-canonical arm, and intracellular, so only small molecules and degraders can reach it.,TNFRSF13C; TNFRSF17; LTBR; CHUK,https://www.uniprot.org/uniprotkb/Q99558/entry,Role and pathway from the UniProt Function section. Neighbours are the receptors that signal into it and the kinase downstream; none of them has an approved drug that works through this arm.
CARD9,C-type lectin receptor signalling in myeloid cells,"Assembles the CARD9-BCL10-MALT1 complex downstream of Dectin-1, turning fungal recognition into NF-kB activation.",Cytosolic adaptor — a scaffold rather than an enzyme, which is what makes it hard to drug.,CLEC7A; SYK; MALT1; BCL10,https://www.uniprot.org/uniprotkb/Q9H257/entry,Role and pathway from the UniProt Function section. Neighbours are the receptor above it and the enzymes below it; the enzymes are where the tractability is.
PTPN22,T-cell receptor proximal signalling,"Dephosphorylates LCK and ZAP70 to damp the T-cell receptor, which is why the risk allele sits in several autoimmune diseases.",Cytosolic phosphatase — intracellular and, like most phosphatases, without an obvious pocket.,LCK; ZAP70; CSK; PTPN11,https://www.uniprot.org/uniprotkb/Q9Y2R2/entry,Role and pathway from the UniProt Function section. Neighbours are its substrates and the phosphatase family member that has been drugged.
LILRB4,Inhibitory receptor signalling on myeloid cells,"An ITIM-bearing receptor that recruits SHP-1 and SHP-2 and switches myeloid activation off — the myeloid counterpart of a checkpoint.","Cell-surface inhibitory receptor, expressed on monocytic AML.",LILRB1; SIRPA; PTPN11; CD47,https://www.uniprot.org/uniprotkb/Q8NHJ6/entry,Role and pathway from the UniProt Function section. Neighbours are the other myeloid checkpoints being pursued for the same reason.
CLDN18,Tight junction,"Not a signalling cascade. Claudins seal the space between epithelial cells, and the 18.2 splice variant is confined to gastric mucosa — normally buried in the junction and exposed only when the tissue becomes malignant.","Four-pass membrane protein; the accessibility of the 18.2 isoform on tumour cells, not a pathway role, is the whole reason it is a target.",CLDN6; MUC17,https://www.uniprot.org/uniprotkb/P56856/entry,"Role from the UniProt Function section. There is no downstream node to list here: the neighbours are other surface antigens on the same tumours, which is the honest analogue when a target is structural rather than a signalling node."
